"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region"
"E23000021","Leicestershire","65717","15121","11","5165","9945","1564","652","33506","8192","4355","3837","8226","865","1850","6493","7880","9312","1179","477","2667","1239","East Midlands"
"E23000020","Lincolnshire","36844","7826","13","3958","3855","1157","212","18438","5303","1783","3520","2994","285","1066","4410","4380","5381","1430","347","1322","731","East Midlands"
"E23000022","Northamptonshire","52950","14392","6","6495","7891","1613","813","24972","6842","2998","3844","5860","599","992","5182","5497","7402","1265","458","1198","837","East Midlands"
"E23000019","Nottinghamshire","76477","19821","12","10204","9605","2245","894","34408","7968","3585","4383","6858","1013","1668","8021","8880","10627","2846","757","3486","1393","East Midlands"
"E23000015","Staffordshire","75364","25778","7","10753","15018","2758","577","27458","6027","2768","3259","4853","553","947","6757","8321","11132","2079","525","3251","1806","West Midlands Region"
"E23000017","Warwickshire","35471","10135","8","4181","5946","1240","269","16041","3584","1578","2006","3790","362","741","3324","4240","4281","987","286","1577","655","West Midlands Region"
"E23000016","West Mercia","78393","25540","12","10120","15408","2972","573","30954","8127","2952","5175","5599","715","1064","7000","8449","9888","2474","633","3856","1503","West Midlands Region"
"E23000014","West Midlands","200512","48092","34","24793","23265","4788","5581","98258","23802","13470","10332","29194","2931","3487","19790","19054","25272","5022","1571","9001","2927","West Midlands Region"
"E23000026","Bedfordshire","42371","10273","8","4389","5876","963","684","20833","4880","2971","1909","5576","521","999","4097","4760","5570","1180","272","2138","458","East"
"E23000023","Cambridgeshire","54346","13241","7","4701","8533","1498","523","25829","5017","2110","2907","5052","907","3718","4439","6696","7283","1578","389","3033","972","East"
"E23000028","Essex","117934","32697","17","12388","20292","2911","1104","51886","13216","7205","6011","12437","1571","2267","10096","12299","15287","3062","1217","7761","2009","East"
"E23000027","Hertfordshire","70533","18863","8","7555","11300","1597","599","29898","5532","2787","2745","6695","1087","1377","7246","7961","9511","3293","497","4813","1462","East"
"E23000024","Norfolk","48689","15335","4","5452","9879","1804","377","17336","3803","1425","2378","2358","483","1396","4464","4832","7257","1838","347","3525","870","East"
"E23000025","Suffolk","44294","13055","7","4767","8281","1489","264","17262","3947","1356","2591","3317","480","1085","3809","4624","6569","1178","317","3183","977","East"
"E23000034","London, City of","5411","882","1","392","489","77","31","3329","246","8","238","175","430","353","654","1471","243","369","42","249","189","London"
"E23000001","Metropolitan Police","755536","190547","109","74657","115781","17227","22812","362382","68219","42923","25296","89142","35426","18127","46741","104727","62026","39602","5715","45969","9256","London"
"E23000030","Hampshire","143791","47999","13","19369","28617","4687","848","51610","11818","3876","7942","9424","1374","3563","12319","13112","18752","3645","1089","12822","2339","South East"
"E23000032","Kent","126008","41774","15","16003","25756","3824","1092","49785","10841","4412","6429","10727","990","1660","11137","14430","19480","2702","623","4427","2301","South East"
"E23000031","Surrey","60622","17161","6","6138","11017","1721","282","23471","5438","2709","2729","4575","428","1144","3883","8003","8734","1846","370","5961","1076","South East"
"E23000033","Sussex","101729","29828","15","12038","17775","3220","834","38407","7205","3160","4045","6216","1554","2335","8345","12752","13632","3339","1162","8997","2310","South East"
"E23000029","Thames Valley","135489","30118","11","12396","17711","4515","968","68777","11735","4712","7023","12973","3741","5266","16017","19045","18757","4879","1068","4089","2318","South East"
"E12000009","South West","327031","94128","35","36314","57779","9908","2184","132807","30328","13159","17169","25515","3618","6221","30195","36930","45309","10488","1866","25993","4348","South West"
"E23000036","Avon & Somerset","130959","36759","10","10885","25864","3211","1101","53547","11813","5610","6203","11315","1376","2917","12426","13700","15109","3155","534","15997","1546","South West"
"E23000035","Devon & Cornwall","81893","25821","9","11642","14170","3058","382","28856","6038","2656","3382","4703","825","807","6620","9863","13632","3548","608","4669","1319","South West"
"E23000039","Dorset","43990","12499","11","4208","8280","1287","221","19394","4545","1531","3014","3403","710","916","4172","5648","6330","1645","282","1752","580","South West"
"E23000037","Gloucestershire","29725","6465","4","4080","2381","897","283","15473","4132","1904","2228","2931","298","812","3436","3864","4359","922","151","873","302","South West"
"E23000038","Wiltshire","40464","12584","1","5499","7084","1455","197","15537","3800","1458","2342","3163","409","769","3541","3855","5879","1218","291","2702","601","South West"
"W15000004","Dyfed-Powys","22536","7126","5","3109","4012","986","50","6836","1551","656","895","902","90","152","1517","2624","3890","2103","157","869","519","Wales"
"W15000002","Gwent","39609","11054","3","4182","6869","828","183","15866","3859","1565","2294","3345","238","372","3581","4471","6938","1312","167","2404","857","Wales"
"W15000001","North Wales","40667","13489","7","5889","7593","1839","135","14186","3287","1375","1912","1951","193","446","3851","4458","7099","1296","228","1536","859","Wales"
"W15000003","South Wales","96777","28185","20","11703","16462","2320","338","37916","7417","3192","4225","8585","1130","1998","8880","9906","13376","3672","460","8423","2087","Wales"
NA,"British Transport Police","50235","8465","9","2325","6131","1569","354","22848","388","2","386","922","5185","5414","2296","8643","6047","1579","371","8161","841","British Transport Police"
